CITY_NAME,S_NAME,dominant,max_count,sel_dominant,sel_max_count,match_type2
奈良市,白毫寺町,八木医院,785,吉川診療所,268,exact
奈良市,南永井町,吉川診療所,780,吉川診療所,780,exact
奈良市,南永井町,吉川診療所,780,吉川診療所,780,exact
奈良市,古市町,くらもと胃腸科医院,1089,くらもと胃腸科医院,1089,exact
奈良市,横井一丁目,医療法人　ふくしまクリニック,830,社会医療法人高清会　高井病院,85,exact
奈良市,横井二丁目,社会医療法人高清会　高井病院,393,社会医療法人高清会　高井病院,393,exact
奈良市,横井三丁目,ニッタ（株）奈良工場診療所,616,吉川診療所,179,exact
奈良市,横井五丁目,吉川診療所,177,吉川診療所,177,exact
奈良市,横井六丁目,吉川診療所,193,吉川診療所,193,exact
奈良市,八島町,くらもと胃腸科医院,176,くらもと胃腸科医院,176,exact
奈良市,鹿野園町,医療法人新仁会奈良春日病院,825,社会医療法人高清会　高井病院,469,exact
奈良市,鹿野園町,医療法人新仁会奈良春日病院,825,社会医療法人高清会　高井病院,469,exact
奈良市,藤原町,公益財団法人　天理よろづ相談所病院,370,社会医療法人高清会　高井病院,290,exact
奈良市,窪之庄町,社会医療法人高清会　高井病院,1048,社会医療法人高清会　高井病院,1048,exact
奈良市,窪之庄町,社会医療法人高清会　高井病院,1048,社会医療法人高清会　高井病院,1048,exact
奈良市,池田町,吉川診療所,338,吉川診療所,338,exact
奈良市,山町,吉川診療所,2913,吉川診療所,2913,exact
奈良市,今市町,吉川診療所,3437,吉川診療所,3437,exact
奈良市,柴屋町,吉川診療所,475,吉川診療所,475,exact
奈良市,柴屋町,吉川診療所,475,吉川診療所,475,exact
奈良市,田中町,吉川診療所,1595,吉川診療所,1595,exact
奈良市,田中町,吉川診療所,1595,吉川診療所,1595,exact
奈良市,田中町,吉川診療所,1595,吉川診療所,1595,exact
奈良市,米谷町,社会医療法人高清会　高井病院,222,社会医療法人高清会　高井病院,222,exact
奈良市,中畑町,吉川診療所,197,吉川診療所,197,exact
奈良市,北椿尾町,辻医院,272,くらもと胃腸科医院,256,exact
奈良市,菩提山町,医療法人新仁会奈良春日病院,166,くらもと胃腸科医院,31,exact
奈良市,高樋町,奈良市立月ヶ瀬診療所,555,社会医療法人高清会　高井病院,127,exact
奈良市,横田町,奈良市立田原診療所,252,社会医療法人高清会　高井病院,30,exact
奈良市,茗荷町,塩田医院,195,くらもと胃腸科医院,27,exact
奈良市,矢田原町,医療法人新仁会奈良春日病院,592,社会医療法人高清会　高井病院,48,exact
奈良市,長谷町,塩田医院,121,社会医療法人高清会　高井病院,82,exact
奈良市,杣ノ川町,塩田医院,214,社会医療法人高清会　高井病院,48,exact
奈良市,南田原町,医療法人新仁会奈良春日病院,258,くらもと胃腸科医院,46,exact
奈良市,中之庄町,塩田医院,159,社会医療法人高清会　高井病院,49,exact
奈良市,大野町,八木医院,24,,0,exact
奈良市,日笠町,奈良市都祁診療所,89,奈良市都祁診療所,89,exact
奈良市,沓掛町,塩田医院,322,,0,exact
奈良市,此瀬町,塩田医院,348,,0,exact
奈良市,和田町,塩田医院,196,社会医療法人高清会　高井病院,50,exact
奈良市,須山町,ニッタ（株）奈良工場診療所,59,医療法人飯岡会　のぞみ診療所,12,exact
奈良市,誓多林町,塩田医院,212,社会医療法人高清会　高井病院,63,exact
奈良市,水間町,医療法人新仁会奈良春日病院,177,社会医療法人高清会　高井病院,121,exact
奈良市,別所町,塩田医院,134,,0,exact
奈良市,柳生町,奈良市立柳生診療所,400,社会医療法人高清会　高井病院,28,exact
奈良市,柳生下町,奈良市立柳生診療所,116,,0,exact
奈良市,興ヶ原町,奈良市立柳生診療所,97,,0,exact
奈良市,邑地町,奈良市立柳生診療所,895,社会医療法人高清会　高井病院,42,exact
奈良市,大保町,塩田医院,272,社会医療法人高清会　高井病院,31,exact
奈良市,丹生町,奈良市立柳生診療所,97,奈良市都祁診療所,93,exact
奈良市,北野山町,塩田医院,147,,0,exact
奈良市,大柳生町,社会医療法人高清会　高井病院,374,社会医療法人高清会　高井病院,374,exact
奈良市,阪原町,塩田医院,307,社会医療法人高清会　高井病院,85,exact
奈良市,大平尾町,塩田医院,317,社会医療法人高清会　高井病院,59,exact
奈良市,忍辱山町,奈良市立月ヶ瀬診療所,325,,0,exact
奈良市,大慈仙町,医療法人新仁会奈良春日病院,209,くらもと胃腸科医院,14,exact
奈良市,月ヶ瀬石打,奈良市立月ヶ瀬診療所,3120,,0,exact
奈良市,月ヶ瀬長引,奈良市立月ヶ瀬診療所,1507,,0,exact
奈良市,月ヶ瀬尾山,奈良市立月ヶ瀬診療所,3238,,0,exact
奈良市,月ヶ瀬嵩,奈良市立月ヶ瀬診療所,184,,0,exact
奈良市,月ヶ瀬月瀬,奈良市立月ヶ瀬診療所,1370,,0,exact
奈良市,月ヶ瀬桃香野,奈良市立月ヶ瀬診療所,2703,,0,exact
奈良市,都祁南之庄町,奈良市都祁診療所,293,奈良市都祁診療所,293,exact
奈良市,都祁甲岡町,奈良市都祁診療所,72,奈良市都祁診療所,72,exact
奈良市,来迎寺町,社会医療法人高清会　高井病院,117,社会医療法人高清会　高井病院,117,exact
奈良市,都祁友田町,奈良市都祁診療所,692,奈良市都祁診療所,692,exact
奈良市,藺生町,くらもと胃腸科医院,309,くらもと胃腸科医院,309,exact
奈良市,都祁小山戸町,宇陀市立病院,451,宇陀市立病院,451,exact
奈良市,都祁相河町,くらもと胃腸科医院,116,くらもと胃腸科医院,116,exact
奈良市,都祁吐山町,奈良市都祁診療所,282,奈良市都祁診療所,282,exact
奈良市,都祁こぶしが丘,八木医院,638,社会医療法人高清会　高井病院,310,exact
奈良市,都祁白石町,奈良市都祁診療所,1614,奈良市都祁診療所,1614,exact
奈良市,針町,奈良市都祁診療所,691,奈良市都祁診療所,691,exact
奈良市,針ケ別所町,医療法人谷口内科医院,369,奈良市都祁診療所,362,exact
奈良市,小倉町,奈良市都祁診療所,693,奈良市都祁診療所,693,exact
奈良市,上深川町,宇陀市立病院,437,宇陀市立病院,437,exact
奈良市,下深川町,宇陀市立病院,291,宇陀市立病院,291,exact
奈良市,荻町,社会医療法人高清会　高井病院,218,社会医療法人高清会　高井病院,218,exact
奈良市,都祁馬場町,医療法人新仁会奈良春日病院,88,くらもと胃腸科医院,63,exact
大和郡山市,丹後庄町,おおさかクリニック,514,社会医療法人高清会　高井病院,21,exact
大和郡山市,大江町,医療法人宮城会宮城医院,106,くらもと胃腸科医院,43,exact
