facility,total_patients,top3_frequency
宇陀市立病院,15556,21
医療法人吉生会吉井整形外科医院,10120,13
鳥見眼科,9337,10
くらもと胃腸科医院,8264,18
医療法人　山本診療所,6285,3
奈良市都祁診療所,6248,14
医療法人飯岡会　のぞみ診療所,6184,8
医療法人豊生会　加藤クリニック,6120,6
社会医療法人高清会　高井病院,6071,13
辻医院,4925,6
医療法人智光会　城井内科医院,4603,1
熊田内科クリニック,4043,2
たかはしファミリークリニック,3760,5
公益財団法人　天理よろづ相談所病院,3184,3
いいおか医院,2943,4
八木医院,2775,5
医療法人谷口内科医院,2564,2
医療法人宮城会宮城医院,2408,3
あさくらクリニック,1951,4
原医院,1929,1
医療法人新仁会奈良春日病院,1852,6
塩田医院,1441,7
北村医院,1276,1
クリニックせんざい,1164,1
奈良市立月ヶ瀬診療所,1037,1
鹿子木診療所,887,2
医療法人厚生会奈良厚生会病院,865,0
ますだ呼吸器科クリニック,622,0
グランソール奈良,551,0
西村医院,507,0
奈良市立田原診療所,487,2
医療法人萩乃里診療所,471,0
みないち循環器内科・外科,446,2
医療法人拓誠会辻村病院,422,0
吉川診療所,415,2
医療法人社団岡田会山の辺病院,326,0
社会福祉法人心境荘苑診療所,310,0
福井療院,282,1
よしこクリニック,267,0
山辺高原奥田診療所,244,0
奈良市立柳生診療所,235,0
宇陀市国民健康保険直営東里診療所,233,1
医療法人正和会野村医院,202,0
医療法人　ふくしまクリニック,175,0
医療法人おのざき整形外科,171,0
医療法人アクアクリニック伊賀,165,0
牧浦内科,151,0
ニッタ（株）奈良工場診療所,147,0
旧ひまわりクリニック,136,0
医療法人友永循環器医院,135,0
医療法人　岩井メディカルクリニック,125,0
伊賀市立上野総合市民病院,120,0
山添村国民健康保険豊原診療所,103,0
久保医院,82,0
おおさかクリニック,76,0
医療法人松山医院,61,1
山添村国民健康保険東山診療所,45,0
山内醫院,43,0
大浦内科クリニック,39,0
湯村内科,31,0
山添村国民健康保険波多野診療所,29,0
ささきクリニック,25,0
医療法人釜本医院,23,0
社会医療法人健生会河合診療所,21,0
医療法人上坂内科,0,0
社会医療法人畿内会　岡波総合病院,0,0
しみずハートクリニック,0,0
社会福祉法人誠敬会ぬくもりクリニック田原本,0,0
伊藤医院,0,0
公益財団法人　天理よろづ相談所病院白川分院,0,0
西澤医院,0,0
赤目養生診療所,0,0
猪木内科医院,0,0
梨ノ木診療所,0,0
ひらい小児科クリニック,0,0
水野内科医院,0,0
伊賀市応急診療所,0,0
医療法人宣仁会白濱医院,0,0
ヒロセ医院,0,0
寺西医院,0,0
宮本医院,0,0
宇陀市国民健康保険直営田口診療所,0,0
医療法人森川病院,0,0
医療法人藤本産婦人科,0,0
医療法人髙宮会 髙宮病院,0,0
名張市応急診療所,0,0
大西医院,0,0
