town,town_norm,match_type,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,LON,LAT,dist_km,total_215,大阪赤十字病院,社会医療法人警和会　第二大阪警察病院,社会医療法人警和会　大阪警察病院,左診療所,社会福祉法人四天王寺福祉事業団　四天王寺病院,医療法人警和会　大阪警察病院付属人間ドッククリニック,独立行政法人国立病院機構　大阪医療センター,医療法人大峯会　高山診療所,医療法人アエバ会　アエバ外科病院,大阪公立大学医学部附属病院
大阪市天王寺区細工谷一丁目,大阪市天王寺区細工谷一丁目,code_in_car30,大阪市天王寺区,細工谷一丁目,大阪市天王寺区細工谷一丁目,27109031001,135.52450927808945,34.662527929596216,0.1752159969537905,13322.0,1260.0,104.0,252.0,1740.0,274.0,420.0,0.0,100.0,0.0,436.0
大阪市天王寺区細工谷二丁目,大阪市天王寺区細工谷二丁目,code_in_car30,大阪市天王寺区,細工谷二丁目,大阪市天王寺区細工谷二丁目,27109031002,135.5247328815732,34.661253977520076,0.3089358669133122,8612.0,462.0,158.0,380.0,253.0,92.0,247.0,70.0,48.0,65.0,0.0
大阪市天王寺区堂ヶ芝二丁目,大阪市天王寺区堂ヶ芝二丁目,code_in_car30,大阪市天王寺区,堂ヶ芝二丁目,大阪市天王寺区堂ヶ芝二丁目,27109030002,135.52601270816996,34.660074047217215,0.4445529344388101,27210.0,307.0,1446.0,793.0,151.0,951.0,0.0,1199.0,0.0,239.0,426.0
大阪市天王寺区堂ヶ芝一丁目,大阪市天王寺区堂ヶ芝一丁目,code_in_car30,大阪市天王寺区,堂ヶ芝一丁目,大阪市天王寺区堂ヶ芝一丁目,27109030001,135.52777075856102,34.66012719155097,0.4933797428895328,5251.0,248.0,99.0,181.0,67.0,149.0,152.0,73.0,40.0,166.0,0.0
大阪市天王寺区上本町六丁目,大阪市天王寺区上本町六丁目,code_in_car30,大阪市天王寺区,上本町六丁目,大阪市天王寺区上本町六丁目,27109001006,135.51988099238483,34.66514253612065,0.4989583658310504,5759.0,328.0,20.0,165.0,98.0,166.0,214.0,215.0,131.0,0.0,24.0
大阪市生野区鶴橋一丁目,大阪市生野区鶴橋一丁目,code_in_car30,大阪市生野区,鶴橋一丁目,大阪市生野区鶴橋一丁目,27116001001,135.53060741227904,34.66363324122141,0.4999694837800179,6366.0,404.0,87.0,29.0,993.0,0.0,189.0,26.0,156.0,100.0,0.0
大阪市天王寺区上本町七丁目,大阪市天王寺区上本町七丁目,code_in_car30,大阪市天王寺区,上本町七丁目,大阪市天王寺区上本町七丁目,27109001007,135.51868275939484,34.66278328727566,0.6079018437633853,5951.0,175.0,0.0,374.0,0.0,386.0,301.0,180.0,159.0,0.0,0.0
大阪市天王寺区上本町五丁目,大阪市天王寺区上本町五丁目,code_in_car30,大阪市天王寺区,上本町五丁目,大阪市天王寺区上本町五丁目,27109001005,135.5204108155162,34.66793597936651,0.6158147482437629,8173.0,551.0,195.0,473.0,154.0,48.0,151.0,0.0,131.0,60.0,0.0
大阪市生野区桃谷一丁目,大阪市生野区桃谷一丁目,code_in_car30,大阪市生野区,桃谷一丁目,大阪市生野区桃谷一丁目,27116002001,135.52949696016552,34.65954859023451,0.635170834848693,7659.0,376.0,513.0,549.0,92.0,129.0,217.0,149.0,70.0,186.0,146.0
大阪市生野区鶴橋二丁目,大阪市生野区鶴橋二丁目,code_in_car30,大阪市生野区,鶴橋二丁目,大阪市生野区鶴橋二丁目,27116001002,135.53275051839498,34.66387899718034,0.6943678794036842,7981.0,909.0,0.0,78.0,1220.0,75.0,370.0,58.0,26.0,201.0,34.0
