town,town_norm,match_type,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,LON,LAT,dist_km,total_215,独立行政法人　地域医療機能推進機構　大阪みなと中央病院,大阪公立大学医学部附属病院,独立行政法人国立病院機構　大阪医療センター,大阪赤十字病院,多根総合病院,社会福祉法人恩賜財団済生会支部　大阪府済生会中津病院,大阪鉄道病院,公益財団法人田附興風会　医学研究所北野病院,地方独立行政法人大阪府立病院機構　大阪国際がんセンター,株式会社　竹中工務店大阪本店診療所,独立行政法人地域医療機能推進機構　大阪病院,一般財団法人　住友病院,社会福祉法人四天王寺福祉事業団　四天王寺病院,公益財団法人日本生命済生会　日本生命病院,関西電力病院,社会医療法人警和会　大阪警察病院,一般財団法人　大阪府警察職員互助会診療所,医療法人桜峰会　本場診療所,社会医療法人寿会　富永病院,医療法人伯鳳会　大阪中央病院,社会医療法人大道会　森之宮病院,古武診療所,社会医療法人弘道会　なにわ生野病院,阿波座診療所,医療法人エルア会　静波こころの診療所,中村診療所,医療法人弘仁会　まちだ胃腸病院,おおさか内分泌診療所,国家公務員共済組合連合会　大手前病院,社会医療法人警和会　第二大阪警察病院,こころの診療所ハタクリニック,相原アベノ診療所,社会医療法人寿楽会　大野記念病院,医療法人日新会　日新会病院,医療法人日新会　日新会病院_国内居住者・来訪者居住地分析_20240401_20250331 (2),医療法人警和会　大阪警察病院付属人間ドッククリニック,松﨑智彦診療所,社会福祉法人竹井病院　竹井医院,医療法人阪急共栄会　東阪急ビル診療所,医療法人アエバ会　アエバ外科病院,左診療所,多根記念眼科病院,医療法人彰療会　大正病院,心療内科　つばくろ診療所,大西診療所,大阪掖済会病院,一般財団法人　大阪市環境保健協会　附設診療所,特別養護老人ホーム淳風おおさか診療所,医療法人有光会　サトウ病院,医療法人相愛会　相原第二病院,社会福祉法人　石井記念愛染園附属愛染橋病院,阿倍野診療所,医療法人中本会　中本病院,大国さわやか苑診療所,福永診療所,医療法人　水田診療所,医療法人　親和会（財団）　はせがわ診療所,ほくとクリニック病院,大阪薬業健康保険組合　薬業大阪診療所,医療法人大峯会　高山診療所
大阪市天王寺区細工谷一丁目,大阪市天王寺区細工谷一丁目,code_in_car30,大阪市天王寺区,細工谷一丁目,大阪市天王寺区細工谷一丁目,27109031001,135.52450927808945,34.662527929596216,0.1752159969537905,13322.0,0.0,436.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区細工谷二丁目,大阪市天王寺区細工谷二丁目,code_in_car30,大阪市天王寺区,細工谷二丁目,大阪市天王寺区細工谷二丁目,27109031002,135.5247328815732,34.661253977520076,0.3089358669133122,8612.0,496.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区堂ヶ芝二丁目,大阪市天王寺区堂ヶ芝二丁目,code_in_car30,大阪市天王寺区,堂ヶ芝二丁目,大阪市天王寺区堂ヶ芝二丁目,27109030002,135.52601270816996,34.660074047217215,0.4445529344388101,27210.0,0.0,0.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区堂ヶ芝一丁目,大阪市天王寺区堂ヶ芝一丁目,code_in_car30,大阪市天王寺区,堂ヶ芝一丁目,大阪市天王寺区堂ヶ芝一丁目,27109030001,135.52777075856102,34.66012719155097,0.4933797428895328,5251.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上本町六丁目,大阪市天王寺区上本町六丁目,code_in_car30,大阪市天王寺区,上本町六丁目,大阪市天王寺区上本町六丁目,27109001006,135.51988099238483,34.66514253612065,0.4989583658310504,5759.0,0.0,0.0,215.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区鶴橋一丁目,大阪市生野区鶴橋一丁目,code_in_car30,大阪市生野区,鶴橋一丁目,大阪市生野区鶴橋一丁目,27116001001,135.53060741227904,34.66363324122141,0.4999694837800179,6366.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上本町七丁目,大阪市天王寺区上本町七丁目,code_in_car30,大阪市天王寺区,上本町七丁目,大阪市天王寺区上本町七丁目,27109001007,135.51868275939484,34.66278328727566,0.6079018437633853,5951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,374.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市天王寺区上本町五丁目,大阪市天王寺区上本町五丁目,code_in_car30,大阪市天王寺区,上本町五丁目,大阪市天王寺区上本町五丁目,27109001005,135.5204108155162,34.66793597936651,0.6158147482437629,8173.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区桃谷一丁目,大阪市生野区桃谷一丁目,code_in_car30,大阪市生野区,桃谷一丁目,大阪市生野区桃谷一丁目,27116002001,135.52949696016552,34.65954859023451,0.635170834848693,7659.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大阪市生野区鶴橋二丁目,大阪市生野区鶴橋二丁目,code_in_car30,大阪市生野区,鶴橋二丁目,大阪市生野区鶴橋二丁目,27116001002,135.53275051839498,34.66387899718034,0.6943678794036842,7981.0,0.0,0.0,0.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
