facility,町丁目名,CITY_NAME_from_master,S_NAME_from_master,人数
公益財団法人　結核予防会　複十字病院,いすみ市大原台,いすみ市,大原台,39.0
公益財団法人　結核予防会　複十字病院,さいたま市北区日進町一丁目,さいたま市,北区日進町一丁目,132.0
公益財団法人　結核予防会　複十字病院,さいたま市北区日進町三丁目,さいたま市,北区日進町三丁目,183.0
公益財団法人　結核予防会　複十字病院,さいたま市北区植竹町一丁目,さいたま市,北区植竹町一丁目,122.0
公益財団法人　結核予防会　複十字病院,さいたま市南区文蔵一丁目,さいたま市,南区文蔵一丁目,48.0
公益財団法人　結核予防会　複十字病院,さいたま市岩槻区諏訪一丁目,さいたま市,岩槻区諏訪一丁目,239.0
公益財団法人　結核予防会　複十字病院,さいたま市桜区大字下大久保,さいたま市,桜区大字下大久保,40.0
公益財団法人　結核予防会　複十字病院,さいたま市浦和区北浦和五丁目,さいたま市,浦和区北浦和五丁目,51.0
公益財団法人　結核予防会　複十字病院,さいたま市緑区原山一丁目,さいたま市,緑区原山一丁目,102.0
公益財団法人　結核予防会　複十字病院,さいたま市緑区原山四丁目,さいたま市,緑区原山四丁目,104.0
公益財団法人　結核予防会　複十字病院,さいたま市西区三橋六丁目,さいたま市,西区三橋六丁目,37.0
公益財団法人　結核予防会　複十字病院,その他,,その他,0.0
公益財団法人　結核予防会　複十字病院,ひたちなか市柳が丘,ひたちなか市,柳が丘,118.0
公益財団法人　結核予防会　複十字病院,ふじみ野市南台二丁目,ふじみ野市,南台二丁目,47.0
公益財団法人　結核予防会　複十字病院,ふじみ野市大井,ふじみ野市,大井,30.0
公益財団法人　結核予防会　複十字病院,ふじみ野市大井二丁目,ふじみ野市,大井二丁目,396.0
公益財団法人　結核予防会　複十字病院,ふじみ野市大井武蔵野,ふじみ野市,大井武蔵野,47.0
公益財団法人　結核予防会　複十字病院,ふじみ野市大原一丁目,ふじみ野市,大原一丁目,415.0
公益財団法人　結核予防会　複十字病院,ふじみ野市清見三丁目,ふじみ野市,清見三丁目,28.0
公益財団法人　結核予防会　複十字病院,ふじみ野市滝二丁目,ふじみ野市,滝二丁目,24.0
公益財団法人　結核予防会　複十字病院,ふじみ野市霞ヶ丘二丁目,ふじみ野市,霞ヶ丘二丁目,67.0
公益財団法人　結核予防会　複十字病院,三浦市三崎町諸磯,三浦市,三崎町諸磯,158.0
公益財団法人　結核予防会　複十字病院,世田谷区野沢三丁目,世田谷区,野沢三丁目,92.0
公益財団法人　結核予防会　複十字病院,中央区佃三丁目,中央区,佃三丁目,70.0
公益財団法人　結核予防会　複十字病院,中央区勝どき五丁目,中央区,勝どき五丁目,113.0
公益財団法人　結核予防会　複十字病院,中郡二宮町緑が丘三丁目,中郡二宮町,緑が丘三丁目,140.0
