town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,学校法人　順天堂　順天堂大学医学部附属練馬病院,医療法人社団　時正会　佐々総合病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,医療法人　徳洲会　武蔵野徳洲会病院,医療法人財団　荻窪病院,医療法人社団　東山会　調布東山病院,緑風荘病院,医療法人財団　緑秀会　田無病院,公益財団法人　結核予防会　複十字病院,医療法人社団　永寿会　三鷹中央病院,医療法人社団　武蔵野会　一橋病院,医療法人　啓仁会　吉祥寺南病院,医療法人財団　きよせ旭が丘記念病院,医療法人社団　山斗会　山中病院,独立行政法人　国立病院機構　東京病院
西東京市田無町五丁目,西東京市田無町五丁目,西東京市,田無町五丁目,139.53808302689478,35.73106093676619,0.1574604340329387,6314.0,0.0,5845.0,0.0,294.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町四丁目,西東京市田無町四丁目,西東京市,田無町四丁目,139.53686829286343,35.72831650154008,0.2377523511992706,4834.0,0.0,3589.0,0.0,834.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町三丁目,西東京市田無町三丁目,西東京市,田無町三丁目,139.5422595616442,35.73014064657965,0.3149878831704784,2778.0,0.0,2160.0,211.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市西原町一丁目,西東京市西原町一丁目,西東京市,西原町一丁目,139.538103895027,35.733014732247085,0.3662286319834087,406.0,0.0,174.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町二丁目,西東京市田無町二丁目,西東京市,田無町二丁目,139.5429016329591,35.728478101478345,0.3971327412297812,2306.0,0.0,1615.0,0.0,434.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町六丁目,西東京市田無町六丁目,西東京市,田無町六丁目,139.53290382449865,35.729104917427726,0.5373396609681944,3125.0,0.0,1531.0,0.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0
西東京市南町四丁目,西東京市南町四丁目,西東京市,南町四丁目,139.54040391911553,35.724491549766114,0.60453146973981,3212.0,0.0,1244.0,0.0,1095.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町五丁目,西東京市南町五丁目,西東京市,南町五丁目,139.53684690908798,35.724556170469214,0.6059665809619429,980.0,0.0,404.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町一丁目,西東京市田無町一丁目,西東京市,田無町一丁目,139.5454956395057,35.73026385336444,0.6068760934789323,1669.0,0.0,984.0,0.0,333.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町七丁目,西東京市田無町七丁目,西東京市,田無町七丁目,139.53259393928298,35.73197715949012,0.6115917799330092,6861.0,0.0,6373.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
西東京市西原町二丁目,西東京市西原町二丁目,西東京市,西原町二丁目,139.5346670288681,35.73452172139828,0.6467945559312642,1332.0,0.0,1219.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市北原町三丁目,西東京市北原町三丁目,西東京市,北原町三丁目,139.5423538782726,35.73495620936585,0.6598963490355839,2339.0,0.0,578.0,0.0,0.0,557.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町三丁目,西東京市南町三丁目,西東京市,南町三丁目,139.54321993018812,35.72496531518558,0.6667960388036066,2759.0,0.0,1091.0,0.0,1433.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市北原町一丁目,西東京市北原町一丁目,西東京市,北原町一丁目,139.5453243921608,35.73399019480211,0.7530141946522992,4127.0,0.0,2158.0,0.0,883.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市緑町一丁目,西東京市緑町一丁目,西東京市,緑町一丁目,139.53953179224098,35.73701110051625,0.8078795531333994,1896.0,0.0,1718.0,45.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町六丁目,西東京市南町六丁目,西東京市,南町六丁目,139.53239621776203,35.72467780207742,0.8091780868145513,1733.0,0.0,1031.0,0.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
