町丁目,佐々距離_km,1位病院距離_km,距離差_abs_km,町丁目内_全患者数,佐々患者数,佐々構成比_pct,佐々順位,1位施設,1位施設_短縮,1位患者数,1位構成比_pct,1位との差_pctpt,1位との差_患者数
東久留米市前沢一丁目,2.69113233600171,2.6981545022807927,0.0070221662790825,693.0,99.0,14.285714285714285,2,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,東京都立多摩北部医療センター,349.0,50.36075036075036,36.075036075036074,250.0
練馬区南大泉四丁目,3.715545092748152,3.695197216547728,0.0203478762004243,4605.0,573.0,12.44299674267101,2,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,3417.0,74.20195439739413,61.75895765472312,2844.0
東久留米市東本町,3.678327923135292,3.738114075308448,0.0597861521731561,1472.0,100.0,6.7934782608695645,5,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,東京都立多摩北部医療センター,513.0,34.85054347826087,28.057065217391305,413.0
東久留米市中央町三丁目,2.796502734494466,2.877609201324683,0.0811064668302168,1369.0,55.0,4.017531044558072,5,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,東京都立多摩北部医療センター,612.0,44.70416362308254,40.686632578524474,557.0
東久留米市前沢五丁目,2.8206981871539103,2.725383434725195,0.0953147524287154,1772.0,180.0,10.15801354401806,4,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,東京都立多摩北部医療センター,727.0,41.027088036117384,30.869074492099323,547.0
武蔵野市八幡町三丁目,1.8866482267152505,1.7845527663006235,0.1020954604146269,394.0,73.0,18.527918781725887,2,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,106.0,26.903553299492383,8.375634517766496,33.0
武蔵野市緑町二丁目,2.6051644467127533,2.721491194979104,0.1163267482663505,1357.0,167.0,12.306558585114225,3,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,733.0,54.01621223286662,41.7096536477524,566.0
練馬区関町北一丁目,3.6676874851317858,3.7884218172314794,0.1207343320996936,1581.0,168.0,10.62618595825427,4,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,665.0,42.06198608475648,31.435800126502215,497.0
練馬区石神井台七丁目,3.6723094893419432,3.4428305922932187,0.2294788970487244,1180.0,67.0,5.677966101694915,4,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,880.0,74.57627118644068,68.89830508474576,813.0
小平市花小金井四丁目,2.772601173057286,3.0829998330980715,0.3103986600407853,1436.0,275.0,19.15041782729805,3,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,354.0,24.651810584958216,5.501392757660167,79.0
小金井市緑町一丁目,3.4433918143463393,3.1025750070613443,0.3408168072849951,476.0,50.0,10.504201680672267,5,医療法人社団　永寿会　三鷹中央病院,永寿会三鷹中央病院,180.0,37.81512605042017,27.3109243697479,130.0
武蔵野市西久保二丁目,2.866610066655511,2.4442257453873255,0.4223843212681855,442.0,51.0,11.538461538461538,3,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,220.0,49.7737556561086,38.23529411764706,169.0
小平市大沼町六丁目,3.4800264971930943,3.036193113905069,0.4438333832880254,338.0,41.0,12.1301775147929,2,緑風荘病院,緑風荘病院,297.0,87.86982248520711,75.7396449704142,256.0
西東京市東伏見四丁目,2.3159792454817687,2.7685883243375966,0.4526090788558279,893.0,69.0,7.726763717805152,2,医療法人　徳洲会　武蔵野徳洲会病院,徳洲会武蔵野徳洲会病院,824.0,92.27323628219484,84.54647256438969,755.0
東久留米市中央町五丁目,2.986835374305832,2.5059561988162016,0.4808791754896302,1080.0,143.0,13.240740740740742,4,公益財団法人　結核予防会　複十字病院,複十字病院,335.0,31.01851851851852,17.77777777777778,192.0
練馬区石神井台八丁目,3.760209189947675,3.26501680267356,0.4951923872741148,1330.0,141.0,10.601503759398495,2,学校法人　順天堂　順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,1108.0,83.30827067669173,72.70676691729324,967.0
