town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,公益財団法人　結核予防会　複十字病院,医療法人　啓仁会　吉祥寺南病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　山斗会　山中病院,医療法人社団　時正会　佐々総合病院,医療法人社団　東山会　調布東山病院,医療法人社団　武蔵野会　一橋病院,医療法人社団　永寿会　三鷹中央病院,医療法人財団　きよせ旭が丘記念病院,医療法人財団　緑秀会　田無病院,医療法人財団　荻窪病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,学校法人　順天堂　順天堂大学医学部附属練馬病院,独立行政法人　国立病院機構　東京病院,緑風荘病院
世田谷区給田五丁目,世田谷区給田五丁目,世田谷区,給田五丁目,139.58608434609582,35.672917419292574,7.628530923688435,446.0,0.0,69.0,0.0,0.0,0.0,160.0,0.0,86.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0
世田谷区北烏山四丁目,世田谷区北烏山四丁目,世田谷区,北烏山四丁目,139.59657791083802,35.6798506620984,7.617639361888792,763.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,113.0,0.0,293.0
世田谷区北烏山五丁目,世田谷区北烏山五丁目,世田谷区,北烏山五丁目,139.59387085603868,35.67877448419131,7.541942917205204,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0
世田谷区北烏山七丁目,世田谷区北烏山七丁目,世田谷区,北烏山七丁目,139.5909656879074,35.6791866098107,7.336425539627327,216.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
世田谷区北烏山八丁目,世田谷区北烏山八丁目,世田谷区,北烏山八丁目,139.58931267840495,35.676518330599585,7.47433595539637,312.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0
中野区若宮三丁目,中野区若宮三丁目,中野区,若宮三丁目,139.6433151610778,35.72061045648603,9.48951915963964,447.0,0.0,0.0,0.0,224.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0
中野区白鷺一丁目,中野区白鷺一丁目,中野区,白鷺一丁目,139.63837897716843,35.718724267198034,9.072736401536645,770.0,220.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,342.0,0.0,0.0
中野区白鷺二丁目,中野区白鷺二丁目,中野区,白鷺二丁目,139.63432683920388,35.719296564185065,8.70167329882643,395.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,241.0,0.0,0.0
中野区白鷺三丁目,中野区白鷺三丁目,中野区,白鷺三丁目,139.6317677063991,35.72198580434953,8.436748136352696,479.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,160.0,0.0,47.0
中野区鷺宮三丁目,中野区鷺宮三丁目,中野区,鷺宮三丁目,139.64088904498908,35.724181682997404,9.236415438565762,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,293.0,0.0,0.0
