CITY_NAME,S_NAME,TOWN_NAME_4COL,POP,__srcfile
千代田区,丸の内一丁目,東京都千代田区丸の内一丁目,,h03_13.csv
千代田区,丸の内二丁目,東京都千代田区丸の内二丁目,,h03_13.csv
千代田区,丸の内三丁目,東京都千代田区丸の内三丁目,,h03_13.csv
千代田区,大手町一丁目,東京都千代田区大手町一丁目,,h03_13.csv
千代田区,大手町二丁目,東京都千代田区大手町二丁目,,h03_13.csv
千代田区,内幸町一丁目,東京都千代田区内幸町一丁目,,h03_13.csv
千代田区,内幸町二丁目,東京都千代田区内幸町二丁目,,h03_13.csv
千代田区,有楽町二丁目,東京都千代田区有楽町二丁目,,h03_13.csv
千代田区,霞が関一丁目,東京都千代田区霞が関一丁目,,h03_13.csv
千代田区,永田町一丁目,東京都千代田区永田町一丁目,,h03_13.csv
千代田区,永田町二丁目,東京都千代田区永田町二丁目,,h03_13.csv
千代田区,一ツ橋一丁目,東京都千代田区一ツ橋一丁目,,h03_13.csv
中央区,日本橋本石町一丁目,東京都中央区日本橋本石町一丁目,,h03_13.csv
中央区,日本橋本石町二丁目,東京都中央区日本橋本石町二丁目,,h03_13.csv
中央区,日本橋本石町三丁目,東京都中央区日本橋本石町三丁目,,h03_13.csv
中央区,日本橋本石町四丁目,東京都中央区日本橋本石町四丁目,,h03_13.csv
中央区,日本橋室町三丁目,東京都中央区日本橋室町三丁目,,h03_13.csv
港区,新橋一丁目,東京都港区新橋一丁目,,h03_13.csv
新宿区,西新宿一丁目,東京都新宿区西新宿一丁目,,h03_13.csv
江東区,有明三丁目,東京都江東区有明三丁目,,h03_13.csv
江東区,有明四丁目,東京都江東区有明四丁目,,h03_13.csv
江東区,青海一丁目,東京都江東区青海一丁目,,h03_13.csv
江東区,青海三丁目,東京都江東区青海三丁目,,h03_13.csv
江東区,青海四丁目,東京都江東区青海四丁目,,h03_13.csv
江東区,木場四丁目,東京都江東区木場四丁目,,h03_13.csv
江東区,新木場一丁目,東京都江東区新木場一丁目,,h03_13.csv
江東区,新木場二丁目,東京都江東区新木場二丁目,,h03_13.csv
江東区,新木場三丁目,東京都江東区新木場三丁目,,h03_13.csv
江東区,新木場四丁目,東京都江東区新木場四丁目,,h03_13.csv
江東区,夢の島一丁目,東京都江東区夢の島一丁目,,h03_13.csv
江東区,夢の島二丁目,東京都江東区夢の島二丁目,,h03_13.csv
江東区,夢の島三丁目,東京都江東区夢の島三丁目,,h03_13.csv
江東区,若洲一丁目,東京都江東区若洲一丁目,,h03_13.csv
江東区,若洲二丁目,東京都江東区若洲二丁目,,h03_13.csv
江東区,若洲三丁目,東京都江東区若洲三丁目,,h03_13.csv
品川区,勝島三丁目,東京都品川区勝島三丁目,,h03_13.csv
品川区,広町二丁目,東京都品川区広町二丁目,,h03_13.csv
品川区,八潮一丁目,東京都品川区八潮一丁目,,h03_13.csv
品川区,八潮二丁目,東京都品川区八潮二丁目,,h03_13.csv
品川区,八潮三丁目,東京都品川区八潮三丁目,,h03_13.csv
品川区,八潮四丁目,東京都品川区八潮四丁目,,h03_13.csv
品川区,八潮五丁目,東京都品川区八潮五丁目,,h03_13.csv
大田区,平和島一丁目,東京都大田区平和島一丁目,,h03_13.csv
大田区,平和島三丁目,東京都大田区平和島三丁目,,h03_13.csv
大田区,平和島四丁目,東京都大田区平和島四丁目,,h03_13.csv
大田区,平和島六丁目,東京都大田区平和島六丁目,,h03_13.csv
大田区,昭和島一丁目,東京都大田区昭和島一丁目,,h03_13.csv
大田区,昭和島二丁目,東京都大田区昭和島二丁目,,h03_13.csv
大田区,羽田空港一丁目,東京都大田区羽田空港一丁目,,h03_13.csv
大田区,羽田空港二丁目,東京都大田区羽田空港二丁目,,h03_13.csv
大田区,羽田空港三丁目,東京都大田区羽田空港三丁目,,h03_13.csv
大田区,東海一丁目,東京都大田区東海一丁目,,h03_13.csv
大田区,東海二丁目,東京都大田区東海二丁目,,h03_13.csv
大田区,東海三丁目,東京都大田区東海三丁目,,h03_13.csv
大田区,東海四丁目,東京都大田区東海四丁目,,h03_13.csv
大田区,東海五丁目,東京都大田区東海五丁目,,h03_13.csv
大田区,東海六丁目,東京都大田区東海六丁目,,h03_13.csv
大田区,城南島一丁目,東京都大田区城南島一丁目,,h03_13.csv
大田区,城南島二丁目,東京都大田区城南島二丁目,,h03_13.csv
大田区,城南島三丁目,東京都大田区城南島三丁目,,h03_13.csv
大田区,城南島四丁目,東京都大田区城南島四丁目,,h03_13.csv
大田区,城南島五丁目,東京都大田区城南島五丁目,,h03_13.csv
大田区,城南島六丁目,東京都大田区城南島六丁目,,h03_13.csv
大田区,城南島七丁目,東京都大田区城南島七丁目,,h03_13.csv
大田区,京浜島一丁目,東京都大田区京浜島一丁目,,h03_13.csv
大田区,京浜島二丁目,東京都大田区京浜島二丁目,,h03_13.csv
大田区,京浜島三丁目,東京都大田区京浜島三丁目,,h03_13.csv
大田区,多摩川河川敷（上流）,東京都大田区多摩川河川敷（上流）,2.0,h03_13.csv
渋谷区,神南二丁目,東京都渋谷区神南二丁目,,h03_13.csv
荒川区,東尾久七丁目,東京都荒川区東尾久七丁目,,h03_13.csv
板橋区,桜川一丁目,東京都板橋区桜川一丁目,,h03_13.csv
練馬区,光が丘四丁目,東京都練馬区光が丘四丁目,,h03_13.csv
足立区,古千谷一丁目,東京都足立区古千谷一丁目,,h03_13.csv
足立区,古千谷二丁目,東京都足立区古千谷二丁目,,h03_13.csv
江戸川区,臨海町三丁目,東京都江戸川区臨海町三丁目,,h03_13.csv
江戸川区,臨海町六丁目,東京都江戸川区臨海町六丁目,,h03_13.csv
立川市,西砂町七丁目,東京都立川市西砂町七丁目,,h03_13.csv
立川市,上砂町六丁目,東京都立川市上砂町六丁目,,h03_13.csv
立川市,上砂町七丁目,東京都立川市上砂町七丁目,,h03_13.csv
青梅市,長淵九丁目,東京都青梅市長淵九丁目,,h03_13.csv
青梅市,今井四丁目,東京都青梅市今井四丁目,,h03_13.csv
府中市,多磨町三丁目,東京都府中市多磨町三丁目,,h03_13.csv
府中市,多磨町四丁目,東京都府中市多磨町四丁目,,h03_13.csv
昭島市,つつじが丘一丁目,東京都昭島市つつじが丘一丁目,,h03_13.csv
昭島市,拝島町六丁目,東京都昭島市拝島町六丁目,,h03_13.csv
昭島市,もくせいの杜一丁目,東京都昭島市もくせいの杜一丁目,,h03_13.csv
昭島市,もくせいの杜三丁目,東京都昭島市もくせいの杜三丁目,,h03_13.csv
調布市,野水二丁目,東京都調布市野水二丁目,,h03_13.csv
日野市,程久保四丁目,東京都日野市程久保四丁目,,h03_13.csv
日野市,程久保七丁目,東京都日野市程久保七丁目,,h03_13.csv
日野市,万願寺一丁目,東京都日野市万願寺一丁目,,h03_13.csv
日野市,万願寺二丁目,東京都日野市万願寺二丁目,,h03_13.csv
福生市,北田園,東京都福生市北田園,,h03_13.csv
福生市,南田園,東京都福生市南田園,,h03_13.csv
