CITY_NAME,S_NAME,dominant_sel6,max_count_sel6,match_type2,plot_label
世田谷区,給田五丁目,杏林大学医学部付属病院,791.0,exact,杏林大学医学部付属病院
世田谷区,北烏山四丁目,杏林大学医学部付属病院,975.0,exact,杏林大学医学部付属病院
世田谷区,北烏山五丁目,杏林大学医学部付属病院,641.0,exact,杏林大学医学部付属病院
世田谷区,北烏山七丁目,杏林大学医学部付属病院,963.0,exact,杏林大学医学部付属病院
世田谷区,北烏山八丁目,杏林大学医学部付属病院,936.0,exact,杏林大学医学部付属病院
中野区,若宮三丁目,順天堂大学医学部附属練馬病院,168.0,exact,順天堂大学医学部附属練馬病院
中野区,白鷺一丁目,順天堂大学医学部附属練馬病院,342.0,exact,順天堂大学医学部附属練馬病院
中野区,白鷺二丁目,順天堂大学医学部附属練馬病院,241.0,exact,順天堂大学医学部附属練馬病院
中野区,白鷺三丁目,杏林大学医学部付属病院,162.0,exact,杏林大学医学部付属病院
中野区,鷺宮三丁目,順天堂大学医学部附属練馬病院,293.0,exact,順天堂大学医学部附属練馬病院
中野区,鷺宮四丁目,順天堂大学医学部附属練馬病院,404.0,exact,順天堂大学医学部附属練馬病院
中野区,鷺宮五丁目,順天堂大学医学部附属練馬病院,246.0,exact,順天堂大学医学部附属練馬病院
中野区,鷺宮六丁目,順天堂大学医学部附属練馬病院,369.0,exact,順天堂大学医学部附属練馬病院
中野区,上鷺宮一丁目,順天堂大学医学部附属練馬病院,82.0,exact,順天堂大学医学部附属練馬病院
中野区,上鷺宮二丁目,小金井リハビリテーション病院,58.0,exact,小金井リハビリテーション病院
中野区,上鷺宮三丁目,順天堂大学医学部附属練馬病院,186.0,exact,順天堂大学医学部附属練馬病院
中野区,上鷺宮四丁目,順天堂大学医学部附属練馬病院,736.0,exact,順天堂大学医学部附属練馬病院
中野区,上鷺宮五丁目,順天堂大学医学部附属練馬病院,546.0,exact,順天堂大学医学部附属練馬病院
杉並区,梅里二丁目,小金井リハビリテーション病院,59.0,exact,小金井リハビリテーション病院
杉並区,阿佐谷南一丁目,順天堂大学医学部附属練馬病院,382.0,exact,順天堂大学医学部附属練馬病院
杉並区,阿佐谷南二丁目,小金井リハビリテーション病院,75.0,exact,小金井リハビリテーション病院
杉並区,阿佐谷南三丁目,杏林大学医学部付属病院,333.0,exact,杏林大学医学部付属病院
杉並区,阿佐谷北一丁目,,0.0,exact,その他(6施設すべて0人)
杉並区,阿佐谷北二丁目,杏林大学医学部付属病院,585.0,exact,杏林大学医学部付属病院
杉並区,阿佐谷北三丁目,順天堂大学医学部附属練馬病院,275.0,exact,順天堂大学医学部附属練馬病院
杉並区,阿佐谷北四丁目,順天堂大学医学部附属練馬病院,356.0,exact,順天堂大学医学部附属練馬病院
杉並区,阿佐谷北五丁目,,0.0,exact,その他(6施設すべて0人)
杉並区,阿佐谷北六丁目,小金井リハビリテーション病院,135.0,exact,小金井リハビリテーション病院
杉並区,天沼一丁目,順天堂大学医学部附属練馬病院,260.0,exact,順天堂大学医学部附属練馬病院
杉並区,天沼二丁目,杏林大学医学部付属病院,224.0,exact,杏林大学医学部付属病院
杉並区,天沼三丁目,小金井リハビリテーション病院,129.0,exact,小金井リハビリテーション病院
杉並区,本天沼一丁目,順天堂大学医学部附属練馬病院,158.0,exact,順天堂大学医学部附属練馬病院
杉並区,本天沼二丁目,順天堂大学医学部附属練馬病院,134.0,exact,順天堂大学医学部附属練馬病院
杉並区,本天沼三丁目,順天堂大学医学部附属練馬病院,334.0,exact,順天堂大学医学部附属練馬病院
杉並区,成田西二丁目,小金井リハビリテーション病院,84.0,exact,小金井リハビリテーション病院
杉並区,成田西三丁目,,0.0,exact,その他(6施設すべて0人)
杉並区,成田西四丁目,杏林大学医学部付属病院,119.0,exact,杏林大学医学部付属病院
杉並区,成田東三丁目,杏林大学医学部付属病院,91.0,exact,杏林大学医学部付属病院
杉並区,成田東四丁目,杏林大学医学部付属病院,222.0,exact,杏林大学医学部付属病院
杉並区,成田東五丁目,順天堂大学医学部附属練馬病院,412.0,exact,順天堂大学医学部附属練馬病院
杉並区,荻窪一丁目,杏林大学医学部付属病院,592.0,exact,杏林大学医学部付属病院
杉並区,荻窪二丁目,小金井リハビリテーション病院,301.0,exact,小金井リハビリテーション病院
杉並区,荻窪三丁目,緑風荘病院,455.0,exact,緑風荘病院
杉並区,荻窪四丁目,杏林大学医学部付属病院,403.0,exact,杏林大学医学部付属病院
杉並区,荻窪五丁目,杏林大学医学部付属病院,841.0,exact,杏林大学医学部付属病院
杉並区,南荻窪一丁目,杏林大学医学部付属病院,439.0,exact,杏林大学医学部付属病院
杉並区,南荻窪二丁目,杏林大学医学部付属病院,157.0,exact,杏林大学医学部付属病院
杉並区,南荻窪三丁目,杏林大学医学部付属病院,259.0,exact,杏林大学医学部付属病院
杉並区,南荻窪四丁目,順天堂大学医学部附属練馬病院,207.0,exact,順天堂大学医学部附属練馬病院
杉並区,上荻一丁目,小金井リハビリテーション病院,61.0,exact,小金井リハビリテーション病院
杉並区,上荻二丁目,杏林大学医学部付属病院,460.0,exact,杏林大学医学部付属病院
杉並区,上荻三丁目,杏林大学医学部付属病院,145.0,exact,杏林大学医学部付属病院
杉並区,上荻四丁目,佐々総合病院,63.0,exact,佐々総合病院
杉並区,西荻南一丁目,,0.0,exact,その他(6施設すべて0人)
杉並区,西荻南二丁目,杏林大学医学部付属病院,872.0,exact,杏林大学医学部付属病院
杉並区,西荻南三丁目,順天堂大学医学部附属練馬病院,309.0,exact,順天堂大学医学部附属練馬病院
杉並区,西荻南四丁目,佐々総合病院,635.0,exact,佐々総合病院
杉並区,西荻北一丁目,杏林大学医学部付属病院,385.0,exact,杏林大学医学部付属病院
杉並区,西荻北二丁目,小金井リハビリテーション病院,149.0,exact,小金井リハビリテーション病院
杉並区,西荻北三丁目,小金井リハビリテーション病院,204.0,exact,小金井リハビリテーション病院
杉並区,西荻北四丁目,順天堂大学医学部附属練馬病院,182.0,exact,順天堂大学医学部附属練馬病院
杉並区,西荻北五丁目,小金井リハビリテーション病院,151.0,exact,小金井リハビリテーション病院
杉並区,今川一丁目,杏林大学医学部付属病院,188.0,exact,杏林大学医学部付属病院
杉並区,今川二丁目,小金井リハビリテーション病院,67.0,exact,小金井リハビリテーション病院
杉並区,今川三丁目,杏林大学医学部付属病院,231.0,exact,杏林大学医学部付属病院
杉並区,今川四丁目,小金井リハビリテーション病院,78.0,exact,小金井リハビリテーション病院
杉並区,清水一丁目,小金井リハビリテーション病院,225.0,exact,小金井リハビリテーション病院
杉並区,清水二丁目,公立昭和病院,60.0,exact,公立昭和病院
杉並区,清水三丁目,順天堂大学医学部附属練馬病院,106.0,exact,順天堂大学医学部附属練馬病院
杉並区,桃井一丁目,杏林大学医学部付属病院,85.0,exact,杏林大学医学部付属病院
杉並区,桃井二丁目,杏林大学医学部付属病院,464.0,exact,杏林大学医学部付属病院
杉並区,桃井三丁目,順天堂大学医学部附属練馬病院,218.0,exact,順天堂大学医学部附属練馬病院
杉並区,桃井四丁目,小金井リハビリテーション病院,79.0,exact,小金井リハビリテーション病院
杉並区,井草一丁目,小金井リハビリテーション病院,176.0,exact,小金井リハビリテーション病院
杉並区,井草二丁目,順天堂大学医学部附属練馬病院,1374.0,exact,順天堂大学医学部附属練馬病院
杉並区,井草三丁目,順天堂大学医学部附属練馬病院,300.0,exact,順天堂大学医学部附属練馬病院
杉並区,井草四丁目,公立昭和病院,44.0,exact,公立昭和病院
杉並区,井草五丁目,順天堂大学医学部附属練馬病院,414.0,exact,順天堂大学医学部附属練馬病院
杉並区,下井草一丁目,杏林大学医学部付属病院,212.0,exact,杏林大学医学部付属病院
杉並区,下井草二丁目,順天堂大学医学部附属練馬病院,114.0,exact,順天堂大学医学部附属練馬病院
杉並区,下井草三丁目,杏林大学医学部付属病院,501.0,exact,杏林大学医学部付属病院
杉並区,下井草四丁目,順天堂大学医学部附属練馬病院,177.0,exact,順天堂大学医学部附属練馬病院
杉並区,下井草五丁目,緑風荘病院,213.0,exact,緑風荘病院
杉並区,上井草一丁目,順天堂大学医学部附属練馬病院,260.0,exact,順天堂大学医学部附属練馬病院
杉並区,上井草二丁目,順天堂大学医学部附属練馬病院,928.0,exact,順天堂大学医学部附属練馬病院
杉並区,上井草三丁目,順天堂大学医学部附属練馬病院,390.0,exact,順天堂大学医学部附属練馬病院
杉並区,上井草四丁目,順天堂大学医学部附属練馬病院,175.0,exact,順天堂大学医学部附属練馬病院
杉並区,善福寺一丁目,杏林大学医学部付属病院,73.0,exact,杏林大学医学部付属病院
杉並区,善福寺二丁目,杏林大学医学部付属病院,284.0,exact,杏林大学医学部付属病院
杉並区,善福寺三丁目,杏林大学医学部付属病院,284.0,exact,杏林大学医学部付属病院
杉並区,善福寺四丁目,杏林大学医学部付属病院,487.0,exact,杏林大学医学部付属病院
杉並区,松庵一丁目,杏林大学医学部付属病院,452.0,exact,杏林大学医学部付属病院
杉並区,松庵二丁目,杏林大学医学部付属病院,270.0,exact,杏林大学医学部付属病院
杉並区,松庵三丁目,杏林大学医学部付属病院,339.0,exact,杏林大学医学部付属病院
杉並区,宮前一丁目,,0.0,exact,その他(6施設すべて0人)
杉並区,宮前二丁目,杏林大学医学部付属病院,885.0,exact,杏林大学医学部付属病院
杉並区,宮前三丁目,杏林大学医学部付属病院,1556.0,exact,杏林大学医学部付属病院
杉並区,宮前四丁目,杏林大学医学部付属病院,675.0,exact,杏林大学医学部付属病院
杉並区,宮前五丁目,杏林大学医学部付属病院,576.0,exact,杏林大学医学部付属病院
杉並区,久我山一丁目,杏林大学医学部付属病院,149.0,exact,杏林大学医学部付属病院
杉並区,久我山二丁目,杏林大学医学部付属病院,820.0,exact,杏林大学医学部付属病院
杉並区,久我山三丁目,杏林大学医学部付属病院,906.0,exact,杏林大学医学部付属病院
杉並区,久我山四丁目,杏林大学医学部付属病院,1350.0,exact,杏林大学医学部付属病院
杉並区,久我山五丁目,杏林大学医学部付属病院,283.0,exact,杏林大学医学部付属病院
杉並区,高井戸東二丁目,小金井リハビリテーション病院,284.0,exact,小金井リハビリテーション病院
杉並区,高井戸東三丁目,杏林大学医学部付属病院,1382.0,exact,杏林大学医学部付属病院
杉並区,高井戸東四丁目,杏林大学医学部付属病院,419.0,exact,杏林大学医学部付属病院
杉並区,高井戸西一丁目,杏林大学医学部付属病院,176.0,exact,杏林大学医学部付属病院
杉並区,高井戸西二丁目,佐々総合病院,104.0,exact,佐々総合病院
杉並区,高井戸西三丁目,杏林大学医学部付属病院,244.0,exact,杏林大学医学部付属病院
練馬区,中村北四丁目,順天堂大学医学部附属練馬病院,897.0,exact,順天堂大学医学部附属練馬病院
練馬区,貫井一丁目,順天堂大学医学部附属練馬病院,694.0,exact,順天堂大学医学部附属練馬病院
練馬区,貫井二丁目,順天堂大学医学部附属練馬病院,1371.0,exact,順天堂大学医学部附属練馬病院
練馬区,貫井三丁目,順天堂大学医学部附属練馬病院,2224.0,exact,順天堂大学医学部附属練馬病院
練馬区,貫井四丁目,順天堂大学医学部附属練馬病院,758.0,exact,順天堂大学医学部附属練馬病院
練馬区,貫井五丁目,順天堂大学医学部附属練馬病院,902.0,exact,順天堂大学医学部附属練馬病院
練馬区,高松二丁目,順天堂大学医学部附属練馬病院,945.0,exact,順天堂大学医学部附属練馬病院
練馬区,高松三丁目,順天堂大学医学部附属練馬病院,1252.0,exact,順天堂大学医学部附属練馬病院
