施設名,患者数合計,上位3頻出回数
佐々総合病院,87289.0,51
医療法人　徳洲会　武蔵野徳洲会病院,53934.0,22
医療法人社団　東光会　西東京中央総合病院,49991.0,33
医療法人社団　薫風会　山田病院,47686.0,32
医療法人財団　緑秀会　田無病院,28508.0,9
公立昭和病院,17095.0,7
医療法人社団　東京白報会　みたか在宅診療所,10195.0,5
杏林大学医学部付属病院,8360.0,3
武蔵野赤十字病院,6633.0,0
順天堂大学医学部附属練馬病院,5983.0,3
東久留米市休日診療所,5516.0,2
医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,4912.0,1
緑風荘病院,4899.0,1
医療法人社団　山本・前田記念会　前田病院,4583.0,1
小金井リハビリテーション病院,3472.0,1
吉祥寺こころの診療所,3381.0,0
公益財団法人　結核予防会　複十字病院,2985.0,0
医療法人社団　千秋会　田中脳神経外科病院,2984.0,0
武蔵野陽和会病院,2836.0,1
医療法人社団　はなぶさ会　島村記念病院,2705.0,0
地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,2666.0,1
医療法人社団　杏順会　越川病院,2466.0,0
東京都臨時医療施設（国立病院機構東京病院）,2424.0,1
国立研究開発法人　国立精神・神経医療研究センター病院,2409.0,0
医療法人財団　荻窪病院,2332.0,1
公益財団法人　榊原記念財団　附属　榊原記念病院,2147.0,0
医療法人社団　好仁会　滝山病院,1857.0,0
医療法人社団　藤啓会　北町診療所,1496.0,0
市毛診療所 東京都練馬区,1469.0,0
富士見通り診療所,1383.0,0
医療法人社団　新新会　多摩あおば病院,1319.0,0
城西病院,1271.0,0
公益財団法人　井之頭病院,1251.0,0
社会医療法人社団　愛有会　久米川病院,1047.0,0
練馬区石神井休日急患診療所,1016.0,0
北多摩中央医療生活協同組合　みなみうら生協診療所,1002.0,1
医療法人　啓仁会　森本病院,958.0,1
社会福祉法人　聖ヨハネ会　桜町病院,932.0,0
医療法人社団　久保田産婦人科病院,932.0,0
医療法人　泰一会　多摩北整形外科病院,852.0,0
杉並リハビリテーション病院,654.0,0
北多摩生協診療所,583.0,0
東村山市休日準夜応急診療所,505.0,0
河北総合病院 分院,455.0,0
藤村病院,442.0,0
大泉生協病院,408.0,0
東京衛生アドベンチスト病院附属めぐみクリニック,344.0,0
医療法人社団　武蔵野会　一橋病院,312.0,0
医療法人社団　大日会　小金井太陽病院,254.0,0
医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,237.0,0
杉並区休日等夜間急病診療所,226.0,1
阿佐ヶ谷すずき診療所,212.0,0
医療法人社団　大坪会　北多摩病院,199.0,0
医療法人社団　永寿会　三鷹中央病院,195.0,0
医療法人財団　慈生会　野村病院,153.0,0
医療法人社団　東山会　調布東山病院,113.0,0
天沼診療所,87.0,0
医療法人社団　飯野病院,48.0,0
医療法人社団　桐光会　調布病院,40.0,0
医療法人社団　欣助会　吉祥寺病院,0.0,0
