town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,佐々総合病院,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　東光会　西東京中央総合病院,医療法人社団　薫風会　山田病院,医療法人財団　緑秀会　田無病院,公立昭和病院,医療法人社団　東京白報会　みたか在宅診療所,杏林大学医学部付属病院,武蔵野赤十字病院,順天堂大学医学部附属練馬病院
西東京市田無町五丁目,西東京市田無町五丁目,西東京市,田無町五丁目,139.53808302689478,35.73106093676619,0.1574604340329387,10355.0,5914.0,205.0,559.0,711.0,134.0,548.0,0.0,547.0,127.0,41.0
西東京市田無町四丁目,西東京市田無町四丁目,西東京市,田無町四丁目,139.53686829286343,35.72831650154008,0.2377523511992706,9173.0,3870.0,673.0,1362.0,645.0,411.0,220.0,0.0,279.0,0.0,0.0
西東京市田無町三丁目,西東京市田無町三丁目,西東京市,田無町三丁目,139.5422595616442,35.73014064657965,0.3149878831704784,5367.0,2160.0,81.0,366.0,999.0,40.0,204.0,46.0,37.0,37.0,44.0
西東京市西原町一丁目,西東京市西原町一丁目,西東京市,西原町一丁目,139.538103895027,35.733014732247085,0.3662286319834087,750.0,174.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町二丁目,西東京市田無町二丁目,西東京市,田無町二丁目,139.5429016329591,35.728478101478345,0.3971327412297812,5398.0,1693.0,394.0,550.0,1201.0,170.0,122.0,47.0,299.0,102.0,0.0
西東京市田無町六丁目,西東京市田無町六丁目,西東京市,田無町六丁目,139.53290382449865,35.729104917427726,0.5373396609681944,7508.0,1531.0,1050.0,2477.0,720.0,124.0,0.0,0.0,0.0,0.0,0.0
西東京市南町四丁目,西東京市南町四丁目,西東京市,南町四丁目,139.54040391911553,35.724491549766114,0.60453146973981,9038.0,1244.0,868.0,1042.0,3608.0,0.0,186.0,0.0,202.0,53.0,0.0
西東京市南町五丁目,西東京市南町五丁目,西東京市,南町五丁目,139.53684690908798,35.724556170469214,0.6059665809619429,3830.0,404.0,264.0,923.0,837.0,0.0,754.0,0.0,50.0,0.0,0.0
西東京市田無町一丁目,西東京市田無町一丁目,西東京市,田無町一丁目,139.5454956395057,35.73026385336444,0.6068760934789323,5978.0,984.0,333.0,848.0,389.0,122.0,140.0,321.0,140.0,114.0,0.0
西東京市田無町七丁目,西東京市田無町七丁目,西東京市,田無町七丁目,139.53259393928298,35.73197715949012,0.6115917799330092,10373.0,6373.0,258.0,1032.0,379.0,0.0,393.0,71.0,515.0,81.0,0.0
西東京市西原町二丁目,西東京市西原町二丁目,西東京市,西原町二丁目,139.5346670288681,35.73452172139828,0.6467945559312642,2948.0,1219.0,113.0,479.0,297.0,0.0,475.0,0.0,128.0,0.0,0.0
西東京市北原町三丁目,西東京市北原町三丁目,西東京市,北原町三丁目,139.5423538782726,35.73495620936585,0.6598963490355839,6253.0,578.0,335.0,290.0,360.0,635.0,50.0,44.0,49.0,0.0,92.0
西東京市南町三丁目,西東京市南町三丁目,西東京市,南町三丁目,139.54321993018812,35.72496531518558,0.6667960388036066,12123.0,1091.0,1186.0,1091.0,6086.0,0.0,105.0,0.0,59.0,95.0,0.0
西東京市北原町一丁目,西東京市北原町一丁目,西東京市,北原町一丁目,139.5453243921608,35.73399019480211,0.7530141946522992,9786.0,2158.0,670.0,668.0,1715.0,590.0,420.0,276.0,71.0,30.0,138.0
西東京市緑町一丁目,西東京市緑町一丁目,西東京市,緑町一丁目,139.53953179224098,35.73701110051625,0.8078795531333994,3410.0,1718.0,0.0,643.0,201.0,108.0,90.0,0.0,24.0,97.0,0.0
西東京市南町六丁目,西東京市南町六丁目,西東京市,南町六丁目,139.53239621776203,35.72467780207742,0.8091780868145513,6250.0,1070.0,453.0,2100.0,979.0,0.0,491.0,0.0,150.0,0.0,0.0
西東京市南町一丁目,西東京市南町一丁目,西東京市,南町一丁目,139.54702300767016,35.72680890347878,0.8120214015218763,5188.0,1102.0,354.0,1017.0,815.0,0.0,320.0,41.0,0.0,0.0,0.0
西東京市北原町二丁目,西東京市北原町二丁目,西東京市,北原町二丁目,139.54438234117654,35.73644945348671,0.8975108995539224,4840.0,1022.0,0.0,609.0,740.0,481.0,46.0,889.0,108.0,0.0,0.0
西東京市保谷町四丁目,西東京市保谷町四丁目,西東京市,保谷町四丁目,139.54878423289503,35.730276590915906,0.902992278872544,2410.0,937.0,0.0,184.0,303.0,96.0,0.0,0.0,0.0,96.0,0.0
西東京市西原町三丁目,西東京市西原町三丁目,西東京市,西原町三丁目,139.5321659387392,35.736179736743026,0.9308889311466192,5771.0,2128.0,69.0,855.0,608.0,298.0,226.0,0.0,98.0,79.0,0.0
西東京市南町二丁目,西東京市南町二丁目,西東京市,南町二丁目,139.54707147460047,35.724026613617255,0.9825257476971926,6219.0,622.0,530.0,679.0,1721.0,66.0,0.0,269.0,165.0,217.0,121.0
西東京市保谷町五丁目,西東京市保谷町五丁目,西東京市,保谷町五丁目,139.5487532459354,35.73400102798938,1.0141459249625902,5904.0,1769.0,384.0,939.0,119.0,153.0,349.0,43.0,107.0,0.0,45.0
西東京市柳沢六丁目,西東京市柳沢六丁目,西東京市,柳沢六丁目,139.5511164309401,35.72748652568436,1.140396618772079,3772.0,942.0,116.0,290.0,973.0,120.0,295.0,76.0,40.0,33.0,0.0
