town,town_norm,CITY_NAME_from_master,S_NAME_from_master,LON,LAT,dist_km,total_87,杏林大学医学部付属病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,順天堂大学医学部附属練馬病院,緑風荘病院,公立昭和病院,佐々総合病院,東久留米市休日診療所,小金井リハビリテーション病院,地方独立行政法人　東京都立病院機構　東京都立多摩北部医療センター,練馬区石神井休日急患診療所,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院,医療法人社団　新新会　多摩あおば病院,医療法人社団　東光会　西東京中央総合病院,医療法人財団　荻窪病院,城西病院,医療法人社団　薫風会　山田病院,吉祥寺こころの診療所,医療法人社団　東山会　調布東山病院,東村山市休日準夜応急診療所,河北総合病院 分院,社会医療法人社団　愛有会　久米川病院,医療法人社団　山本・前田記念会　前田病院,医療法人社団　杏順会　越川病院,医療法人社団　好仁会　滝山病院,東京都臨時医療施設（国立病院機構東京病院）,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,公益財団法人　榊原記念財団　附属　榊原記念病院,医療法人社団　久保田産婦人科病院,社会福祉法人　聖ヨハネ会　桜町病院,医療法人社団　千秋会　田中脳神経外科病院,杉並区休日等夜間急病診療所,国立研究開発法人　国立精神・神経医療研究センター病院,医療法人財団　慈生会　野村病院,武蔵野赤十字病院,武蔵野陽和会病院,藤村病院,医療法人社団　欣助会　吉祥寺病院,医療法人社団　飯野病院,公益財団法人　結核予防会　複十字病院,天沼診療所,医療法人財団　緑秀会　田無病院,医療法人　泰一会　多摩北整形外科病院,公益財団法人　井之頭病院,医療法人社団　永寿会　三鷹中央病院,医療法人社団　はなぶさ会　島村記念病院,市毛診療所 東京都練馬区,医療法人社団　大日会　小金井太陽病院,東京衛生アドベンチスト病院附属めぐみクリニック,医療法人社団　大坪会　北多摩病院,杉並リハビリテーション病院,医療法人社団　武蔵野会　一橋病院,阿佐ヶ谷すずき診療所,富士見通り診療所,医療法人　啓仁会　森本病院,北多摩生協診療所,大泉生協病院,北多摩中央医療生活協同組合　みなみうら生協診療所,医療法人社団　桐光会　調布病院,医療法人社団　藤啓会　北町診療所
西東京市田無町五丁目,西東京市田無町五丁目,西東京市,田無町五丁目,139.53808302689478,35.73106093676619,0.1574604340329387,10355.0,0.0,0.0,0.0,0.0,0.0,5914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町四丁目,西東京市田無町四丁目,西東京市,田無町四丁目,139.53686829286343,35.72831650154008,0.2377523511992706,9173.0,0.0,0.0,0.0,0.0,0.0,3870.0,0.0,0.0,0.0,0.0,0.0,673.0,0.0,1362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町三丁目,西東京市田無町三丁目,西東京市,田無町三丁目,139.5422595616442,35.73014064657965,0.3149878831704784,5367.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市西原町一丁目,西東京市西原町一丁目,西東京市,西原町一丁目,139.538103895027,35.733014732247085,0.3662286319834087,750.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町二丁目,西東京市田無町二丁目,西東京市,田無町二丁目,139.5429016329591,35.728478101478345,0.3971327412297812,5398.0,0.0,0.0,0.0,0.0,0.0,1693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町六丁目,西東京市田無町六丁目,西東京市,田無町六丁目,139.53290382449865,35.729104917427726,0.5373396609681944,7508.0,0.0,0.0,0.0,0.0,0.0,1531.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,2477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町四丁目,西東京市南町四丁目,西東京市,南町四丁目,139.54040391911553,35.724491549766114,0.60453146973981,9038.0,0.0,0.0,0.0,0.0,0.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,0.0,0.0,3608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市南町五丁目,西東京市南町五丁目,西東京市,南町五丁目,139.53684690908798,35.724556170469214,0.6059665809619429,3830.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,0.0,0.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町一丁目,西東京市田無町一丁目,西東京市,田無町一丁目,139.5454956395057,35.73026385336444,0.6068760934789323,5978.0,0.0,0.0,0.0,950.0,0.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西東京市田無町七丁目,西東京市田無町七丁目,西東京市,田無町七丁目,139.53259393928298,35.73197715949012,0.6115917799330092,10373.0,515.0,0.0,0.0,0.0,0.0,6373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
